ASSERTION	AAEBAAEFAAAAAAAAwGJA
ASSERTION	AAECAAIFAAAAAAAAAAAA
ASSERTION	AAMAARB0cmFuc2Zlci1yZXF1ZXN0AgADBQAAAAAAAABZQA==
RUN	parabank.TransferTest	transfertest	1777157027478	 	3.3.1
USER	Transfer Test	62	START	1777157028316	1777157028316
USER	Transfer Test	125	START	1777157028347	1777157028347
USER	Transfer Test	126	START	1777157028347	1777157028347
USER	Transfer Test	127	START	1777157028347	1777157028347
USER	Transfer Test	128	START	1777157028347	1777157028347
USER	Transfer Test	129	START	1777157028348	1777157028348
USER	Transfer Test	107	START	1777157028340	1777157028340
USER	Transfer Test	124	START	1777157028344	1777157028344
USER	Transfer Test	119	START	1777157028342	1777157028342
USER	Transfer Test	19	START	1777157028283	1777157028283
USER	Transfer Test	131	START	1777157028348	1777157028348
USER	Transfer Test	135	START	1777157028358	1777157028358
USER	Transfer Test	134	START	1777157028358	1777157028358
USER	Transfer Test	137	START	1777157028358	1777157028358
USER	Transfer Test	136	START	1777157028358	1777157028358
USER	Transfer Test	138	START	1777157028359	1777157028359
USER	Transfer Test	139	START	1777157028359	1777157028359
USER	Transfer Test	140	START	1777157028359	1777157028359
USER	Transfer Test	142	START	1777157028359	1777157028359
USER	Transfer Test	143	START	1777157028359	1777157028359
USER	Transfer Test	144	START	1777157028360	1777157028360
USER	Transfer Test	145	START	1777157028360	1777157028360
USER	Transfer Test	28	START	1777157028291	1777157028291
USER	Transfer Test	130	START	1777157028348	1777157028348
USER	Transfer Test	146	START	1777157028362	1777157028362
USER	Transfer Test	147	START	1777157028362	1777157028362
USER	Transfer Test	148	START	1777157028362	1777157028362
USER	Transfer Test	149	START	1777157028362	1777157028362
USER	Transfer Test	150	START	1777157028363	1777157028363
USER	Transfer Test	132	START	1777157028351	1777157028351
USER	Transfer Test	100	START	1777157028332	1777157028332
USER	Transfer Test	141	START	1777157028359	1777157028359
USER	Transfer Test	133	START	1777157028351	1777157028351
REQUEST	4		transfer-request	1777157028404	1777157028554	OK	 
USER	Transfer Test	4	END	1777157028262	1777157028636
REQUEST	7		transfer-request	1777157028413	1777157028658	OK	 
USER	Transfer Test	7	END	1777157028272	1777157028664
REQUEST	12		transfer-request	1777157028413	1777157028667	OK	 
USER	Transfer Test	12	END	1777157028281	1777157028671
REQUEST	20		transfer-request	1777157028433	1777157028673	OK	 
USER	Transfer Test	20	END	1777157028289	1777157028674
REQUEST	5		transfer-request	1777157028405	1777157028678	OK	 
USER	Transfer Test	5	END	1777157028268	1777157028679
REQUEST	8		transfer-request	1777157028432	1777157028675	OK	 
USER	Transfer Test	8	END	1777157028274	1777157028679
REQUEST	36		transfer-request	1777157028455	1777157028680	OK	 
USER	Transfer Test	36	END	1777157028307	1777157028683
REQUEST	2		transfer-request	1777157028402	1777157028684	OK	 
REQUEST	32		transfer-request	1777157028454	1777157028685	OK	 
USER	Transfer Test	32	END	1777157028300	1777157028689
USER	Transfer Test	2	END	1777157028252	1777157028690
REQUEST	16		transfer-request	1777157028422	1777157028690	OK	 
USER	Transfer Test	16	END	1777157028282	1777157028691
REQUEST	40		transfer-request	1777157028465	1777157028712	OK	 
USER	Transfer Test	40	END	1777157028308	1777157028715
REQUEST	26		transfer-request	1777157028443	1777157028721	OK	 
USER	Transfer Test	26	END	1777157028290	1777157028722
REQUEST	34		transfer-request	1777157028455	1777157028723	OK	 
REQUEST	52		transfer-request	1777157028484	1777157028725	OK	 
USER	Transfer Test	52	END	1777157028313	1777157028726
REQUEST	11		transfer-request	1777157028474	1777157028728	OK	 
USER	Transfer Test	34	END	1777157028301	1777157028729
REQUEST	13		transfer-request	1777157028414	1777157028731	OK	 
USER	Transfer Test	13	END	1777157028281	1777157028732
REQUEST	43		transfer-request	1777157028465	1777157028735	OK	 
USER	Transfer Test	11	END	1777157028277	1777157028734
USER	Transfer Test	43	END	1777157028310	1777157028736
REQUEST	24		transfer-request	1777157028442	1777157028762	OK	 
USER	Transfer Test	24	END	1777157028290	1777157028766
REQUEST	39		transfer-request	1777157028464	1777157028765	OK	 
REQUEST	3		transfer-request	1777157028410	1777157028773	OK	 
USER	Transfer Test	39	END	1777157028308	1777157028773
USER	Transfer Test	3	END	1777157028256	1777157028774
REQUEST	42		transfer-request	1777157028465	1777157028778	OK	 
USER	Transfer Test	42	END	1777157028309	1777157028779
REQUEST	15		transfer-request	1777157028421	1777157028780	OK	 
USER	Transfer Test	15	END	1777157028282	1777157028781
REQUEST	59		transfer-request	1777157028494	1777157028787	OK	 
USER	Transfer Test	59	END	1777157028315	1777157028788
REQUEST	51		transfer-request	1777157028484	1777157028790	OK	 
USER	Transfer Test	51	END	1777157028313	1777157028791
REQUEST	45		transfer-request	1777157028473	1777157028792	OK	 
USER	Transfer Test	45	END	1777157028312	1777157028793
REQUEST	55		transfer-request	1777157028485	1777157028792	OK	 
REQUEST	19		transfer-request	1777157028423	1777157028794	OK	 
USER	Transfer Test	55	END	1777157028313	1777157028794
USER	Transfer Test	19	END	1777157028283	1777157028795
REQUEST	66		transfer-request	1777157028501	1777157028810	OK	 
USER	Transfer Test	66	END	1777157028321	1777157028812
REQUEST	35		transfer-request	1777157028500	1777157028818	OK	 
USER	Transfer Test	35	END	1777157028301	1777157028819
REQUEST	18		transfer-request	1777157028422	1777157028817	OK	 
USER	Transfer Test	18	END	1777157028283	1777157028822
REQUEST	9		transfer-request	1777157028412	1777157028824	OK	 
USER	Transfer Test	9	END	1777157028274	1777157028826
REQUEST	57		transfer-request	1777157028493	1777157028830	OK	 
USER	Transfer Test	57	END	1777157028314	1777157028831
REQUEST	1		transfer-request	1777157028407	1777157028834	OK	 
USER	Transfer Test	1	END	1777157028245	1777157028835
REQUEST	6		transfer-request	1777157028410	1777157028841	OK	 
USER	Transfer Test	6	END	1777157028266	1777157028842
REQUEST	67		transfer-request	1777157028505	1777157028841	OK	 
USER	Transfer Test	67	END	1777157028322	1777157028844
REQUEST	48		transfer-request	1777157028475	1777157028850	OK	 
