ASSERTION	AAMAAQpsb2dpbi1wZWFrAwABBAAAAAAAAMBXQAEAAAAAAACIs0A=
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	parabank.Login200Test	login200test	1777156522795	 	3.3.1
USER	Login - 200 Concurrentes	46	START	1777156523749	1777156523749
USER	Login - 200 Concurrentes	47	START	1777156523750	1777156523750
REQUEST	17		login-peak	1777156523594	1777156523751	OK	 
REQUEST	20		login-peak	1777156523617	1777156523753	OK	 
USER	Login - 200 Concurrentes	17	END	1777156523594	1777156523752
USER	Login - 200 Concurrentes	16	END	1777156523594	1777156523752
USER	Login - 200 Concurrentes	20	END	1777156523614	1777156523753
USER	Login - 200 Concurrentes	49	START	1777156523754	1777156523754
USER	Login - 200 Concurrentes	218	START	1777156523755	1777156523755
USER	Login - 200 Concurrentes	219	START	1777156523755	1777156523755
USER	Login - 200 Concurrentes	220	START	1777156523755	1777156523755
USER	Login - 200 Concurrentes	48	START	1777156523754	1777156523754
REQUEST	22		login-peak	1777156523626	1777156523756	OK	 
USER	Login - 200 Concurrentes	22	END	1777156523625	1777156523756
USER	Login - 200 Concurrentes	221	START	1777156523757	1777156523757
REQUEST	21		login-peak	1777156523614	1777156523759	OK	 
USER	Login - 200 Concurrentes	21	END	1777156523614	1777156523759
USER	Login - 200 Concurrentes	222	START	1777156523760	1777156523760
USER	Login - 200 Concurrentes	50	START	1777156523765	1777156523765
USER	Login - 200 Concurrentes	51	START	1777156523766	1777156523766
REQUEST	25		login-peak	1777156523635	1777156523769	OK	 
USER	Login - 200 Concurrentes	25	END	1777156523635	1777156523772
USER	Login - 200 Concurrentes	223	START	1777156523773	1777156523773
REQUEST	23		login-peak	1777156523626	1777156523770	OK	 
USER	Login - 200 Concurrentes	52	START	1777156523774	1777156523774
USER	Login - 200 Concurrentes	23	END	1777156523626	1777156523775
USER	Login - 200 Concurrentes	224	START	1777156523775	1777156523775
USER	Login - 200 Concurrentes	53	START	1777156523775	1777156523775
REQUEST	27		login-peak	1777156523645	1777156523781	OK	 
USER	Login - 200 Concurrentes	27	END	1777156523644	1777156523781
USER	Login - 200 Concurrentes	225	START	1777156523782	1777156523782
REQUEST	26		login-peak	1777156523644	1777156523773	OK	 
USER	Login - 200 Concurrentes	26	END	1777156523644	1777156523783
USER	Login - 200 Concurrentes	226	START	1777156523783	1777156523783
USER	Login - 200 Concurrentes	54	START	1777156523784	1777156523784
USER	Login - 200 Concurrentes	55	START	1777156523784	1777156523784
REQUEST	29		login-peak	1777156523654	1777156523786	OK	 
USER	Login - 200 Concurrentes	29	END	1777156523654	1777156523789
USER	Login - 200 Concurrentes	227	START	1777156523789	1777156523789
USER	Login - 200 Concurrentes	56	START	1777156523795	1777156523795
USER	Login - 200 Concurrentes	57	START	1777156523796	1777156523796
USER	Login - 200 Concurrentes	58	START	1777156523805	1777156523805
REQUEST	31		login-peak	1777156523668	1777156523815	OK	 
USER	Login - 200 Concurrentes	59	START	1777156523814	1777156523814
USER	Login - 200 Concurrentes	31	END	1777156523665	1777156523815
USER	Login - 200 Concurrentes	228	START	1777156523816	1777156523816
USER	Login - 200 Concurrentes	60	START	1777156523824	1777156523824
USER	Login - 200 Concurrentes	61	START	1777156523824	1777156523824
REQUEST	24		login-peak	1777156523635	1777156523826	OK	 
USER	Login - 200 Concurrentes	24	END	1777156523634	1777156523829
USER	Login - 200 Concurrentes	229	START	1777156523829	1777156523829
USER	Login - 200 Concurrentes	63	START	1777156523834	1777156523834
USER	Login - 200 Concurrentes	62	START	1777156523834	1777156523834
REQUEST	30		login-peak	1777156523664	1777156523842	OK	 
USER	Login - 200 Concurrentes	30	END	1777156523664	1777156523842
USER	Login - 200 Concurrentes	230	START	1777156523843	1777156523843
USER	Login - 200 Concurrentes	65	START	1777156523845	1777156523845
USER	Login - 200 Concurrentes	64	START	1777156523846	1777156523846
REQUEST	33		login-peak	1777156523678	1777156523851	OK	 
USER	Login - 200 Concurrentes	33	END	1777156523678	1777156523851
USER	Login - 200 Concurrentes	231	START	1777156523853	1777156523853
USER	Login - 200 Concurrentes	66	START	1777156523853	1777156523853
REQUEST	28		login-peak	1777156523654	1777156523855	OK	 
USER	Login - 200 Concurrentes	67	START	1777156523854	1777156523854
USER	Login - 200 Concurrentes	28	END	1777156523654	1777156523856
USER	Login - 200 Concurrentes	232	START	1777156523856	1777156523856
USER	Login - 200 Concurrentes	68	START	1777156523864	1777156523864
REQUEST	201		login-peak	1777156523709	1777156523865	OK	 
USER	Login - 200 Concurrentes	201	END	1777156523708	1777156523866
USER	Login - 200 Concurrentes	233	START	1777156523867	1777156523867
REQUEST	37		login-peak	1777156523696	1777156523869	OK	 
USER	Login - 200 Concurrentes	37	END	1777156523695	1777156523870
REQUEST	35		login-peak	1777156523687	1777156523870	OK	 
USER	Login - 200 Concurrentes	69	START	1777156523864	1777156523864
USER	Login - 200 Concurrentes	35	END	1777156523686	1777156523870
USER	Login - 200 Concurrentes	235	START	1777156523871	1777156523871
USER	Login - 200 Concurrentes	234	START	1777156523870	1777156523870
REQUEST	202		login-peak	1777156523709	1777156523873	OK	 
REQUEST	38		login-peak	1777156523704	1777156523874	OK	 
USER	Login - 200 Concurrentes	202	END	1777156523708	1777156523873
REQUEST	32		login-peak	1777156523678	1777156523875	OK	 
USER	Login - 200 Concurrentes	236	START	1777156523875	1777156523875
USER	Login - 200 Concurrentes	70	START	1777156523876	1777156523876
USER	Login - 200 Concurrentes	71	START	1777156523876	1777156523876
USER	Login - 200 Concurrentes	32	END	1777156523677	1777156523876
USER	Login - 200 Concurrentes	237	START	1777156523877	1777156523877
USER	Login - 200 Concurrentes	38	END	1777156523704	1777156523879
USER	Login - 200 Concurrentes	238	START	1777156523882	1777156523882
USER	Login - 200 Concurrentes	72	START	1777156523884	1777156523884
USER	Login - 200 Concurrentes	73	START	1777156523884	1777156523884
REQUEST	221		login-peak	1777156523757	1777156523889	OK	 
USER	Login - 200 Concurrentes	221	END	1777156523757	1777156523892
USER	Login - 200 Concurrentes	239	START	1777156523893	1777156523893
USER	Login - 200 Concurrentes	74	START	1777156523894	1777156523894
USER	Login - 200 Concurrentes	75	START	1777156523895	1777156523895
REQUEST	217		login-peak	1777156523749	1777156523892	OK	 
USER	Login - 200 Concurrentes	217	END	1777156523748	1777156523897
USER	Login - 200 Concurrentes	240	START	1777156523898	1777156523898
REQUEST	41		login-peak	1777156523716	1777156523900	OK	 
USER	Login - 200 Concurrentes	41	END	1777156523714	1777156523903
USER	Login - 200 Concurrentes	241	START	1777156523903	1777156523903
REQUEST	39		login-peak	1777156523705	1777156523904	OK	 
USER	Login - 200 Concurrentes	76	START	1777156523905	1777156523905
USER	Login - 200 Concurrentes	39	END	1777156523704	1777156523905
USER	Login - 200 Concurrentes	242	START	1777156523906	1777156523906
USER	Login - 200 Concurrentes	77	START	1777156523905	1777156523905
REQUEST	210		login-peak	1777156523731	1777156523900	OK	 
USER	Login - 200 Concurrentes	210	END	1777156523731	1777156523909
USER	Login - 200 Concurrentes	243	START	1777156523910	1777156523910
REQUEST	204		login-peak	1777156523715	1777156523912	OK	 
USER	Login - 200 Concurrentes	204	END	1777156523715	1777156523912
USER	Login - 200 Concurrentes	244	START	1777156523913	1777156523913
USER	Login - 200 Concurrentes	78	START	1777156523913	1777156523913
USER	Login - 200 Concurrentes	79	START	1777156523914	1777156523914
REQUEST	40		login-peak	1777156523714	1777156523915	OK	 
USER	Login - 200 Concurrentes	40	END	1777156523714	1777156523915
USER	Login - 200 Concurrentes	245	START	1777156523916	1777156523916
REQUEST	45		login-peak	1777156523734	1777156523917	OK	 
USER	Login - 200 Concurrentes	45	END	1777156523734	1777156523917
USER	Login - 200 Concurrentes	246	START	1777156523919	1777156523919
REQUEST	36		login-peak	1777156523694	1777156523922	OK	 
REQUEST	209		login-peak	1777156523731	1777156523922	OK	 
USER	Login - 200 Concurrentes	36	END	1777156523694	1777156523922
REQUEST	208		login-peak	1777156523730	1777156523923	OK	 
USER	Login - 200 Concurrentes	208	END	1777156523730	1777156523923
USER	Login - 200 Concurrentes	248	START	1777156523923	1777156523923
REQUEST	203		login-peak	1777156523710	1777156523925	OK	 
USER	Login - 200 Concurrentes	203	END	1777156523710	1777156523925
REQUEST	34		login-peak	1777156523685	1777156523927	OK	 
USER	Login - 200 Concurrentes	34	END	1777156523684	1777156523928
