ASSERTION	AAMAARFhY2NvdW50LXN0YXRlbWVudAMAAQQAAAAAAADAV0ABAAAAAAAAcKdA
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.AccountStatementTest	accountstatementtest	1777157044010	 	3.3.1
USER	Account Statement Load	81	START	1777157044719	1777157044719
USER	Account Statement Load	122	START	1777157044752	1777157044752
USER	Account Statement Load	100	START	1777157044742	1777157044742
USER	Account Statement Load	124	START	1777157044753	1777157044753
USER	Account Statement Load	125	START	1777157044753	1777157044753
USER	Account Statement Load	97	START	1777157044739	1777157044739
USER	Account Statement Load	126	START	1777157044754	1777157044754
USER	Account Statement Load	127	START	1777157044754	1777157044754
USER	Account Statement Load	129	START	1777157044754	1777157044754
USER	Account Statement Load	130	START	1777157044755	1777157044755
USER	Account Statement Load	111	START	1777157044747	1777157044747
USER	Account Statement Load	112	START	1777157044747	1777157044747
USER	Account Statement Load	128	START	1777157044754	1777157044754
USER	Account Statement Load	123	START	1777157044752	1777157044752
USER	Account Statement Load	135	START	1777157044764	1777157044764
USER	Account Statement Load	136	START	1777157044764	1777157044764
USER	Account Statement Load	137	START	1777157044765	1777157044765
USER	Account Statement Load	133	START	1777157044758	1777157044758
USER	Account Statement Load	139	START	1777157044766	1777157044766
USER	Account Statement Load	140	START	1777157044766	1777157044766
USER	Account Statement Load	141	START	1777157044767	1777157044767
USER	Account Statement Load	131	START	1777157044755	1777157044755
USER	Account Statement Load	142	START	1777157044767	1777157044767
USER	Account Statement Load	143	START	1777157044771	1777157044771
USER	Account Statement Load	144	START	1777157044771	1777157044771
USER	Account Statement Load	145	START	1777157044772	1777157044772
USER	Account Statement Load	146	START	1777157044772	1777157044772
USER	Account Statement Load	132	START	1777157044755	1777157044755
USER	Account Statement Load	117	START	1777157044749	1777157044749
USER	Account Statement Load	149	START	1777157044773	1777157044773
USER	Account Statement Load	150	START	1777157044773	1777157044773
USER	Account Statement Load	121	START	1777157044751	1777157044751
USER	Account Statement Load	152	START	1777157044773	1777157044773
USER	Account Statement Load	153	START	1777157044774	1777157044774
USER	Account Statement Load	154	START	1777157044774	1777157044774
USER	Account Statement Load	155	START	1777157044774	1777157044774
USER	Account Statement Load	157	START	1777157044775	1777157044775
USER	Account Statement Load	104	START	1777157044745	1777157044745
USER	Account Statement Load	159	START	1777157044776	1777157044776
USER	Account Statement Load	160	START	1777157044776	1777157044776
USER	Account Statement Load	161	START	1777157044777	1777157044777
USER	Account Statement Load	151	START	1777157044773	1777157044773
USER	Account Statement Load	163	START	1777157044778	1777157044778
USER	Account Statement Load	148	START	1777157044772	1777157044772
USER	Account Statement Load	165	START	1777157044780	1777157044780
USER	Account Statement Load	138	START	1777157044765	1777157044765
USER	Account Statement Load	167	START	1777157044781	1777157044781
USER	Account Statement Load	168	START	1777157044782	1777157044782
USER	Account Statement Load	158	START	1777157044775	1777157044775
USER	Account Statement Load	170	START	1777157044783	1777157044783
USER	Account Statement Load	171	START	1777157044783	1777157044783
USER	Account Statement Load	156	START	1777157044774	1777157044774
USER	Account Statement Load	173	START	1777157044785	1777157044785
USER	Account Statement Load	164	START	1777157044778	1777157044778
USER	Account Statement Load	174	START	1777157044785	1777157044785
USER	Account Statement Load	147	START	1777157044772	1777157044772
USER	Account Statement Load	175	START	1777157044786	1777157044786
USER	Account Statement Load	177	START	1777157044786	1777157044786
USER	Account Statement Load	179	START	1777157044786	1777157044786
USER	Account Statement Load	180	START	1777157044787	1777157044787
USER	Account Statement Load	181	START	1777157044787	1777157044787
USER	Account Statement Load	166	START	1777157044780	1777157044780
USER	Account Statement Load	183	START	1777157044789	1777157044789
USER	Account Statement Load	162	START	1777157044777	1777157044777
USER	Account Statement Load	185	START	1777157044790	1777157044790
USER	Account Statement Load	186	START	1777157044790	1777157044790
USER	Account Statement Load	187	START	1777157044791	1777157044791
USER	Account Statement Load	134	START	1777157044763	1777157044763
USER	Account Statement Load	189	START	1777157044792	1777157044792
USER	Account Statement Load	190	START	1777157044792	1777157044792
USER	Account Statement Load	191	START	1777157044793	1777157044793
USER	Account Statement Load	192	START	1777157044793	1777157044793
USER	Account Statement Load	169	START	1777157044782	1777157044782
USER	Account Statement Load	178	START	1777157044786	1777157044786
USER	Account Statement Load	194	START	1777157044794	1777157044794
USER	Account Statement Load	195	START	1777157044795	1777157044795
USER	Account Statement Load	196	START	1777157044795	1777157044795
USER	Account Statement Load	198	START	1777157044795	1777157044795
USER	Account Statement Load	199	START	1777157044796	1777157044796
USER	Account Statement Load	172	START	1777157044784	1777157044784
USER	Account Statement Load	182	START	1777157044787	1777157044787
USER	Account Statement Load	193	START	1777157044793	1777157044793
USER	Account Statement Load	197	START	1777157044795	1777157044795
USER	Account Statement Load	188	START	1777157044791	1777157044791
USER	Account Statement Load	184	START	1777157044789	1777157044789
USER	Account Statement Load	176	START	1777157044786	1777157044786
USER	Account Statement Load	200	START	1777157044796	1777157044796
REQUEST	46		account-statement	1777157044700	1777157045181	OK	 
REQUEST	8		account-statement	1777157044682	1777157045145	OK	 
REQUEST	29		account-statement	1777157044692	1777157045166	OK	 
REQUEST	15		account-statement	1777157044686	1777157045142	OK	 
USER	Account Statement Load	8	END	1777157044664	1777157045221
USER	Account Statement Load	46	END	1777157044700	1777157045221
USER	Account Statement Load	29	END	1777157044692	1777157045223
REQUEST	45		account-statement	1777157044700	1777157045224	OK	 
USER	Account Statement Load	15	END	1777157044686	1777157045225
USER	Account Statement Load	45	END	1777157044700	1777157045226
REQUEST	3		account-statement	1777157044683	1777157045226	OK	 
REQUEST	102		account-statement	1777157044745	1777157045230	OK	 
USER	Account Statement Load	102	END	1777157044744	1777157045230
USER	Account Statement Load	3	END	1777157044655	1777157045231
REQUEST	12		account-statement	1777157044685	1777157045228	OK	 
USER	Account Statement Load	12	END	1777157044685	1777157045235
REQUEST	13		account-statement	1777157044702	1777157045235	OK	 
USER	Account Statement Load	13	END	1777157044685	1777157045236
REQUEST	61		account-statement	1777157044708	1777157045238	OK	 
USER	Account Statement Load	61	END	1777157044708	1777157045238
REQUEST	65		account-statement	1777157044709	1777157045243	OK	 
REQUEST	123		account-statement	1777157044763	1777157045238	OK	 
USER	Account Statement Load	65	END	1777157044709	1777157045243
REQUEST	57		account-statement	1777157044705	1777157045244	OK	 
REQUEST	78		account-statement	1777157044718	1777157045245	OK	 
USER	Account Statement Load	123	END	1777157044752	1777157045246
USER	Account Statement Load	78	END	1777157044718	1777157045247
REQUEST	28		account-statement	1777157044692	1777157045242	OK	 
REQUEST	69		account-statement	1777157044712	1777157045249	OK	 
REQUEST	52		account-statement	1777157044702	1777157045249	OK	 
USER	Account Statement Load	57	END	1777157044705	1777157045249
USER	Account Statement Load	28	END	1777157044692	1777157045249
USER	Account Statement Load	69	END	1777157044712	1777157045250
USER	Account Statement Load	52	END	1777157044702	1777157045250
REQUEST	135		account-statement	1777157044764	1777157045247	OK	 
USER	Account Statement Load	135	END	1777157044764	1777157045252
REQUEST	2		account-statement	1777157044683	1777157045248	OK	 
REQUEST	14		account-statement	1777157044686	1777157045254	OK	 
REQUEST	77		account-statement	1777157044741	1777157045250	OK	 
USER	Account Statement Load	2	END	1777157044653	1777157045253
USER	Account Statement Load	14	END	1777157044685	1777157045255
USER	Account Statement Load	77	END	1777157044717	1777157045255
REQUEST	143		account-statement	1777157044771	1777157045253	OK	 
REQUEST	73		account-statement	1777157044717	1777157045255	OK	 
USER	Account Statement Load	73	END	1777157044713	1777157045257
USER	Account Statement Load	143	END	1777157044771	1777157045258
REQUEST	131		account-statement	1777157044771	1777157045259	OK	 
USER	Account Statement Load	131	END	1777157044755	1777157045260
REQUEST	26		account-statement	1777157044691	1777157045255	OK	 
REQUEST	85		account-statement	1777157044721	1777157045261	OK	 
USER	Account Statement Load	26	END	1777157044691	1777157045262
USER	Account Statement Load	85	END	1777157044720	1777157045261
REQUEST	10		account-statement	1777157044685	1777157045262	OK	 
REQUEST	127		account-statement	1777157044754	1777157045261	OK	 
REQUEST	103		account-statement	1777157044745	1777157045265	OK	 
USER	Account Statement Load	10	END	1777157044684	1777157045263
USER	Account Statement Load	127	END	1777157044754	1777157045264
USER	Account Statement Load	103	END	1777157044745	1777157045265
REQUEST	104		account-statement	1777157044776	1777157045267	OK	 
USER	Account Statement Load	104	END	1777157044745	1777157045268
REQUEST	70		account-statement	1777157044713	1777157045263	OK	 
USER	Account Statement Load	70	END	1777157044712	1777157045269
REQUEST	196		account-statement	1777157044795	1777157045270	OK	 
REQUEST	101		account-statement	1777157044744	1777157045270	OK	 
USER	Account Statement Load	101	END	1777157044744	1777157045273
USER	Account Statement Load	196	END	1777157044795	1777157045274
REQUEST	30		account-statement	1777157044695	1777157045271	OK	 
USER	Account Statement Load	30	END	1777157044692	1777157045275
REQUEST	89		account-statement	1777157044744	1777157045275	OK	 
USER	Account Statement Load	89	END	1777157044721	1777157045276
REQUEST	168		account-statement	1777157044782	1777157045274	OK	 
USER	Account Statement Load	168	END	1777157044782	1777157045278
REQUEST	66		account-statement	1777157044719	1777157045277	OK	 
REQUEST	105		account-statement	1777157044746	1777157045276	OK	 
USER	Account Statement Load	105	END	1777157044746	1777157045281
REQUEST	42		account-statement	1777157044718	1777157045282	OK	 
USER	Account Statement Load	66	END	1777157044709	1777157045282
USER	Account Statement Load	42	END	1777157044698	1777157045283
REQUEST	160		account-statement	1777157044777	1777157045281	OK	 
USER	Account Statement Load	160	END	1777157044776	1777157045284
REQUEST	153		account-statement	1777157044774	1777157045282	OK	 
USER	Account Statement Load	153	END	1777157044774	1777157045286
REQUEST	39		account-statement	1777157044698	1777157045280	OK	 
USER	Account Statement Load	39	END	1777157044697	1777157045287
REQUEST	19		account-statement	1777157044689	1777157045288	OK	 
REQUEST	116		account-statement	1777157044749	1777157045285	OK	 
USER	Account Statement Load	19	END	1777157044689	1777157045289
REQUEST	74		account-statement	1777157044714	1777157045287	OK	 
REQUEST	137		account-statement	1777157044765	1777157045286	OK	 
USER	Account Statement Load	74	END	1777157044714	1777157045290
REQUEST	120		account-statement	1777157044751	1777157045292	OK	 
USER	Account Statement Load	137	END	1777157044765	1777157045292
USER	Account Statement Load	116	END	1777157044749	1777157045292
USER	Account Statement Load	120	END	1777157044751	1777157045293
REQUEST	22		account-statement	1777157044690	1777157045291	OK	 
USER	Account Statement Load	22	END	1777157044690	1777157045294
REQUEST	145		account-statement	1777157044772	1777157045292	OK	 
USER	Account Statement Load	145	END	1777157044772	1777157045297
REQUEST	124		account-statement	1777157044753	1777157045298	OK	 
REQUEST	18		account-statement	1777157044692	1777157045300	OK	 
USER	Account Statement Load	18	END	1777157044688	1777157045300
REQUEST	9		account-statement	1777157044684	1777157045300	OK	 
REQUEST	11		account-statement	1777157044685	1777157045298	OK	 
USER	Account Statement Load	9	END	1777157044684	1777157045301
USER	Account Statement Load	11	END	1777157044685	1777157045302
USER	Account Statement Load	124	END	1777157044753	1777157045302
REQUEST	92		account-statement	1777157044746	1777157045303	OK	 
REQUEST	141		account-statement	1777157044767	1777157045305	OK	 
USER	Account Statement Load	92	END	1777157044722	1777157045305
USER	Account Statement Load	141	END	1777157044767	1777157045305
REQUEST	5		account-statement	1777157044682	1777157045307	OK	 
REQUEST	27		account-statement	1777157044692	1777157045304	OK	 
USER	Account Statement Load	27	END	1777157044691	1777157045308
REQUEST	54		account-statement	1777157044703	1777157045307	OK	 
USER	Account Statement Load	54	END	1777157044703	1777157045309
USER	Account Statement Load	5	END	1777157044660	1777157045310
REQUEST	16		account-statement	1777157044689	1777157045306	OK	 
REQUEST	49		account-statement	1777157044701	1777157045311	OK	 
USER	Account Statement Load	16	END	1777157044686	1777157045312
REQUEST	20		account-statement	1777157044689	1777157045312	OK	 
