ASSERTION	AAMAAQxsb2dpbi1ub3JtYWwDAAEEAAAAAAAAwFdAAQAAAAAAAECvQA==
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	parabank.LoginTest	logintest	1777156495699	 	3.3.1
USER	Login - 100 Concurrentes	378	END	1777156498089	1777156498262
USER	Login - 100 Concurrentes	438	START	1777156498263	1777156498263
USER	Login - 100 Concurrentes	439	START	1777156498263	1777156498263
USER	Login - 100 Concurrentes	433	START	1777156498257	1777156498257
REQUEST	289		login-normal	1777156497843	1777156498267	OK	 
USER	Login - 100 Concurrentes	289	END	1777156497842	1777156498267
USER	Login - 100 Concurrentes	440	START	1777156498267	1777156498267
REQUEST	301		login-normal	1777156497896	1777156498268	OK	 
REQUEST	344		login-normal	1777156497999	1777156498271	OK	 
USER	Login - 100 Concurrentes	301	END	1777156497895	1777156498272
REQUEST	319		login-normal	1777156497966	1777156498272	OK	 
USER	Login - 100 Concurrentes	441	START	1777156498272	1777156498272
USER	Login - 100 Concurrentes	319	END	1777156497966	1777156498272
REQUEST	323		login-normal	1777156497969	1777156498273	OK	 
USER	Login - 100 Concurrentes	442	START	1777156498273	1777156498273
USER	Login - 100 Concurrentes	323	END	1777156497969	1777156498273
USER	Login - 100 Concurrentes	443	START	1777156498273	1777156498273
USER	Login - 100 Concurrentes	344	END	1777156497999	1777156498275
REQUEST	285		login-normal	1777156497833	1777156498275	OK	 
USER	Login - 100 Concurrentes	285	END	1777156497833	1777156498276
REQUEST	321		login-normal	1777156497968	1777156498276	OK	 
USER	Login - 100 Concurrentes	445	START	1777156498276	1777156498276
USER	Login - 100 Concurrentes	321	END	1777156497967	1777156498276
USER	Login - 100 Concurrentes	446	START	1777156498277	1777156498277
USER	Login - 100 Concurrentes	444	START	1777156498275	1777156498275
REQUEST	382		login-normal	1777156498105	1777156498278	OK	 
REQUEST	348		login-normal	1777156498007	1777156498275	OK	 
USER	Login - 100 Concurrentes	348	END	1777156498007	1777156498279
USER	Login - 100 Concurrentes	447	START	1777156498279	1777156498279
USER	Login - 100 Concurrentes	382	END	1777156498105	1777156498281
USER	Login - 100 Concurrentes	448	START	1777156498281	1777156498281
REQUEST	364		login-normal	1777156498062	1777156498285	OK	 
USER	Login - 100 Concurrentes	364	END	1777156498061	1777156498285
REQUEST	386		login-normal	1777156498118	1777156498281	OK	 
USER	Login - 100 Concurrentes	449	START	1777156498285	1777156498285
USER	Login - 100 Concurrentes	386	END	1777156498112	1777156498286
USER	Login - 100 Concurrentes	450	START	1777156498286	1777156498286
REQUEST	372		login-normal	1777156498079	1777156498287	OK	 
USER	Login - 100 Concurrentes	372	END	1777156498072	1777156498288
USER	Login - 100 Concurrentes	451	START	1777156498288	1777156498288
REQUEST	352		login-normal	1777156498026	1777156498296	OK	 
REQUEST	394		login-normal	1777156498140	1777156498295	OK	 
USER	Login - 100 Concurrentes	394	END	1777156498140	1777156498297
USER	Login - 100 Concurrentes	452	START	1777156498303	1777156498303
USER	Login - 100 Concurrentes	352	END	1777156498026	1777156498303
USER	Login - 100 Concurrentes	453	START	1777156498303	1777156498303
REQUEST	375		login-normal	1777156498079	1777156498302	OK	 
REQUEST	384		login-normal	1777156498111	1777156498305	OK	 
REQUEST	325		login-normal	1777156497970	1777156498306	OK	 
USER	Login - 100 Concurrentes	375	END	1777156498078	1777156498307
USER	Login - 100 Concurrentes	454	START	1777156498307	1777156498307
REQUEST	390		login-normal	1777156498129	1777156498309	OK	 
USER	Login - 100 Concurrentes	384	END	1777156498111	1777156498309
REQUEST	380		login-normal	1777156498098	1777156498310	OK	 
USER	Login - 100 Concurrentes	455	START	1777156498309	1777156498309
USER	Login - 100 Concurrentes	380	END	1777156498097	1777156498310
USER	Login - 100 Concurrentes	456	START	1777156498310	1777156498310
USER	Login - 100 Concurrentes	390	END	1777156498129	1777156498313
USER	Login - 100 Concurrentes	457	START	1777156498314	1777156498314
REQUEST	406		login-normal	1777156498164	1777156498315	OK	 
REQUEST	309		login-normal	1777156497926	1777156498316	OK	 
USER	Login - 100 Concurrentes	325	END	1777156497970	1777156498316
USER	Login - 100 Concurrentes	458	START	1777156498317	1777156498317
USER	Login - 100 Concurrentes	309	END	1777156497925	1777156498321
REQUEST	265		login-normal	1777156497755	1777156498321	OK	 
USER	Login - 100 Concurrentes	459	START	1777156498321	1777156498321
USER	Login - 100 Concurrentes	406	END	1777156498164	1777156498322
USER	Login - 100 Concurrentes	460	START	1777156498322	1777156498322
REQUEST	387		login-normal	1777156498118	1777156498313	OK	 
REQUEST	383		login-normal	1777156498107	1777156498324	OK	 
USER	Login - 100 Concurrentes	387	END	1777156498118	1777156498323
USER	Login - 100 Concurrentes	383	END	1777156498107	1777156498324
REQUEST	273		login-normal	1777156497773	1777156498325	OK	 
USER	Login - 100 Concurrentes	461	START	1777156498325	1777156498325
USER	Login - 100 Concurrentes	462	START	1777156498325	1777156498325
USER	Login - 100 Concurrentes	265	END	1777156497755	1777156498325
USER	Login - 100 Concurrentes	273	END	1777156497773	1777156498325
USER	Login - 100 Concurrentes	463	START	1777156498328	1777156498328
USER	Login - 100 Concurrentes	464	START	1777156498328	1777156498328
REQUEST	360		login-normal	1777156498062	1777156498327	OK	 
USER	Login - 100 Concurrentes	360	END	1777156498056	1777156498329
REQUEST	376		login-normal	1777156498081	1777156498329	OK	 
USER	Login - 100 Concurrentes	465	START	1777156498329	1777156498329
REQUEST	410		login-normal	1777156498170	1777156498330	OK	 
USER	Login - 100 Concurrentes	410	END	1777156498170	1777156498330
USER	Login - 100 Concurrentes	466	START	1777156498332	1777156498332
REQUEST	257		login-normal	1777156497733	1777156498331	OK	 
REQUEST	317		login-normal	1777156497960	1777156498334	OK	 
REQUEST	349		login-normal	1777156498011	1777156498335	OK	 
USER	Login - 100 Concurrentes	257	END	1777156497733	1777156498334
USER	Login - 100 Concurrentes	317	END	1777156497959	1777156498334
USER	Login - 100 Concurrentes	349	END	1777156498011	1777156498335
USER	Login - 100 Concurrentes	467	START	1777156498336	1777156498336
USER	Login - 100 Concurrentes	468	START	1777156498336	1777156498336
USER	Login - 100 Concurrentes	469	START	1777156498336	1777156498336
REQUEST	356		login-normal	1777156498045	1777156498339	OK	 
REQUEST	388		login-normal	1777156498124	1777156498340	OK	 
REQUEST	392		login-normal	1777156498136	1777156498341	OK	 
REQUEST	395		login-normal	1777156498141	1777156498334	OK	 
USER	Login - 100 Concurrentes	376	END	1777156498080	1777156498339
USER	Login - 100 Concurrentes	356	END	1777156498044	1777156498340
USER	Login - 100 Concurrentes	388	END	1777156498123	1777156498341
USER	Login - 100 Concurrentes	392	END	1777156498135	1777156498341
USER	Login - 100 Concurrentes	470	START	1777156498342	1777156498342
USER	Login - 100 Concurrentes	471	START	1777156498342	1777156498342
USER	Login - 100 Concurrentes	395	END	1777156498141	1777156498343
USER	Login - 100 Concurrentes	473	START	1777156498342	1777156498342
USER	Login - 100 Concurrentes	474	START	1777156498343	1777156498343
USER	Login - 100 Concurrentes	472	START	1777156498342	1777156498342
REQUEST	414		login-normal	1777156498190	1777156498339	OK	 
REQUEST	402		login-normal	1777156498160	1777156498348	OK	 
REQUEST	313		login-normal	1777156497944	1777156498351	OK	 
REQUEST	341		login-normal	1777156497994	1777156498351	OK	 
USER	Login - 100 Concurrentes	414	END	1777156498190	1777156498347
USER	Login - 100 Concurrentes	402	END	1777156498160	1777156498348
USER	Login - 100 Concurrentes	476	START	1777156498354	1777156498354
USER	Login - 100 Concurrentes	475	START	1777156498353	1777156498353
USER	Login - 100 Concurrentes	313	END	1777156497944	1777156498351
USER	Login - 100 Concurrentes	477	START	1777156498354	1777156498354
REQUEST	391		login-normal	1777156498130	1777156498359	OK	 
USER	Login - 100 Concurrentes	341	END	1777156497994	1777156498361
USER	Login - 100 Concurrentes	391	END	1777156498130	1777156498363
USER	Login - 100 Concurrentes	479	START	1777156498366	1777156498366
USER	Login - 100 Concurrentes	478	START	1777156498365	1777156498365
REQUEST	329		login-normal	1777156497976	1777156498371	OK	 
REQUEST	337		login-normal	1777156497988	1777156498380	OK	 
USER	Login - 100 Concurrentes	329	END	1777156497976	1777156498379
USER	Login - 100 Concurrentes	337	END	1777156497988	1777156498380
USER	Login - 100 Concurrentes	481	START	1777156498393	1777156498393
USER	Login - 100 Concurrentes	480	START	1777156498391	1777156498391
REQUEST	333		login-normal	1777156497986	1777156498404	OK	 
USER	Login - 100 Concurrentes	333	END	1777156497985	1777156498406
USER	Login - 100 Concurrentes	482	START	1777156498410	1777156498410
REQUEST	422		login-normal	1777156498215	1777156498402	OK	 
USER	Login - 100 Concurrentes	422	END	1777156498215	1777156498425
USER	Login - 100 Concurrentes	483	START	1777156498428	1777156498428
REQUEST	418		login-normal	1777156498198	1777156498426	OK	 
USER	Login - 100 Concurrentes	418	END	1777156498198	1777156498435
REQUEST	426		login-normal	1777156498223	1777156498435	OK	 
USER	Login - 100 Concurrentes	484	START	1777156498435	1777156498435
USER	Login - 100 Concurrentes	426	END	1777156498222	1777156498436
REQUEST	430		login-normal	1777156498247	1777156498436	OK	 
USER	Login - 100 Concurrentes	485	START	1777156498436	1777156498436
REQUEST	396		login-normal	1777156498142	1777156498432	OK	 
USER	Login - 100 Concurrentes	396	END	1777156498142	1777156498438
USER	Login - 100 Concurrentes	486	START	1777156498440	1777156498440
USER	Login - 100 Concurrentes	430	END	1777156498247	1777156498441
REQUEST	442		login-normal	1777156498273	1777156498441	OK	 
USER	Login - 100 Concurrentes	487	START	1777156498441	1777156498441
USER	Login - 100 Concurrentes	442	END	1777156498273	1777156498441
USER	Login - 100 Concurrentes	488	START	1777156498442	1777156498442
REQUEST	412		login-normal	1777156498177	1777156498438	OK	 
USER	Login - 100 Concurrentes	412	END	1777156498176	1777156498443
USER	Login - 100 Concurrentes	489	START	1777156498443	1777156498443
REQUEST	385		login-normal	1777156498112	1777156498440	OK	 
REQUEST	379		login-normal	1777156498096	1777156498445	OK	 
REQUEST	389		login-normal	1777156498125	1777156498445	OK	 
USER	Login - 100 Concurrentes	385	END	1777156498112	1777156498445
USER	Login - 100 Concurrentes	490	START	1777156498445	1777156498445
USER	Login - 100 Concurrentes	389	END	1777156498125	1777156498445
USER	Login - 100 Concurrentes	491	START	1777156498447	1777156498447
USER	Login - 100 Concurrentes	379	END	1777156498095	1777156498448
USER	Login - 100 Concurrentes	492	START	1777156498449	1777156498449
REQUEST	400		login-normal	1777156498155	1777156498451	OK	 
REQUEST	404		login-normal	1777156498162	1777156498452	OK	 
REQUEST	408		login-normal	1777156498166	1777156498452	OK	 
USER	Login - 100 Concurrentes	400	END	1777156498154	1777156498451
USER	Login - 100 Concurrentes	404	END	1777156498162	1777156498452
USER	Login - 100 Concurrentes	493	START	1777156498453	1777156498453
REQUEST	438		login-normal	1777156498263	1777156498453	OK	 
USER	Login - 100 Concurrentes	494	START	1777156498453	1777156498453
USER	Login - 100 Concurrentes	438	END	1777156498263	1777156498454
REQUEST	446		login-normal	1777156498277	1777156498454	OK	 
REQUEST	399		login-normal	1777156498153	1777156498448	OK	 
USER	Login - 100 Concurrentes	399	END	1777156498153	1777156498455
USER	Login - 100 Concurrentes	496	START	1777156498455	1777156498455
REQUEST	411		login-normal	1777156498173	1777156498456	OK	 
USER	Login - 100 Concurrentes	446	END	1777156498277	1777156498459
USER	Login - 100 Concurrentes	411	END	1777156498172	1777156498459
USER	Login - 100 Concurrentes	497	START	1777156498459	1777156498459
USER	Login - 100 Concurrentes	498	START	1777156498459	1777156498459
REQUEST	398		login-normal	1777156498146	1777156498460	OK	 
USER	Login - 100 Concurrentes	398	END	1777156498146	1777156498460
USER	Login - 100 Concurrentes	499	START	1777156498460	1777156498460
REQUEST	403		login-normal	1777156498160	1777156498460	OK	 
USER	Login - 100 Concurrentes	403	END	1777156498160	1777156498461
USER	Login - 100 Concurrentes	500	START	1777156498461	1777156498461
USER	Login - 100 Concurrentes	408	END	1777156498166	1777156498463
USER	Login - 100 Concurrentes	501	START	1777156498463	1777156498463
REQUEST	320		login-normal	1777156497967	1777156498463	OK	 
USER	Login - 100 Concurrentes	495	START	1777156498454	1777156498454
REQUEST	407		login-normal	1777156498164	1777156498464	OK	 
USER	Login - 100 Concurrentes	407	END	1777156498164	1777156498465
USER	Login - 100 Concurrentes	502	START	1777156498465	1777156498465
REQUEST	373		login-normal	1777156498074	1777156498466	OK	 
USER	Login - 100 Concurrentes	320	END	1777156497967	1777156498467
REQUEST	332		login-normal	1777156497981	1777156498467	OK	 
USER	Login - 100 Concurrentes	503	START	1777156498467	1777156498467
USER	Login - 100 Concurrentes	373	END	1777156498074	1777156498468
USER	Login - 100 Concurrentes	504	START	1777156498468	1777156498468
REQUEST	415		login-normal	1777156498190	1777156498469	OK	 
USER	Login - 100 Concurrentes	415	END	1777156498190	1777156498470
USER	Login - 100 Concurrentes	505	START	1777156498470	1777156498470
REQUEST	365		login-normal	1777156498063	1777156498472	OK	 
USER	Login - 100 Concurrentes	365	END	1777156498063	1777156498472
REQUEST	353		login-normal	1777156498032	1777156498473	OK	 
USER	Login - 100 Concurrentes	506	START	1777156498473	1777156498473
USER	Login - 100 Concurrentes	353	END	1777156498032	1777156498473
USER	Login - 100 Concurrentes	507	START	1777156498473	1777156498473
USER	Login - 100 Concurrentes	332	END	1777156497981	1777156498474
USER	Login - 100 Concurrentes	508	START	1777156498475	1777156498475
REQUEST	357		login-normal	1777156498049	1777156498474	OK	 
USER	Login - 100 Concurrentes	357	END	1777156498048	1777156498475
USER	Login - 100 Concurrentes	509	START	1777156498475	1777156498475
REQUEST	340		login-normal	1777156497992	1777156498476	OK	 
REQUEST	423		login-normal	1777156498218	1777156498470	OK	 
USER	Login - 100 Concurrentes	423	END	1777156498217	1777156498477
REQUEST	419		login-normal	1777156498199	1777156498477	OK	 
USER	Login - 100 Concurrentes	510	START	1777156498477	1777156498477
USER	Login - 100 Concurrentes	419	END	1777156498198	1777156498477
USER	Login - 100 Concurrentes	511	START	1777156498477	1777156498477
USER	Login - 100 Concurrentes	340	END	1777156497992	1777156498479
USER	Login - 100 Concurrentes	512	START	1777156498479	1777156498479
REQUEST	369		login-normal	1777156498068	1777156498480	OK	 
USER	Login - 100 Concurrentes	369	END	1777156498068	1777156498480
REQUEST	361		login-normal	1777156498056	1777156498480	OK	 
USER	Login - 100 Concurrentes	513	START	1777156498480	1777156498480
USER	Login - 100 Concurrentes	361	END	1777156498056	1777156498481
REQUEST	345		login-normal	1777156497999	1777156498481	OK	 
USER	Login - 100 Concurrentes	345	END	1777156497999	1777156498481
USER	Login - 100 Concurrentes	515	START	1777156498481	1777156498481
REQUEST	368		login-normal	1777156498069	1777156498479	OK	 
USER	Login - 100 Concurrentes	514	START	1777156498481	1777156498481
USER	Login - 100 Concurrentes	368	END	1777156498069	1777156498487
REQUEST	420		login-normal	1777156498213	1777156498487	OK	 
USER	Login - 100 Concurrentes	516	START	1777156498487	1777156498487
USER	Login - 100 Concurrentes	420	END	1777156498213	1777156498488
USER	Login - 100 Concurrentes	517	START	1777156498488	1777156498488
REQUEST	377		login-normal	1777156498089	1777156498486	OK	 
USER	Login - 100 Concurrentes	377	END	1777156498089	1777156498491
USER	Login - 100 Concurrentes	518	START	1777156498491	1777156498491
REQUEST	381		login-normal	1777156498100	1777156498491	OK	 
USER	Login - 100 Concurrentes	381	END	1777156498099	1777156498492
USER	Login - 100 Concurrentes	519	START	1777156498492	1777156498492
REQUEST	434		login-normal	1777156498259	1777156498501	OK	 
USER	Login - 100 Concurrentes	434	END	1777156498258	1777156498502
USER	Login - 100 Concurrentes	520	START	1777156498505	1777156498505
REQUEST	436		login-normal	1777156498260	1777156498508	OK	 
USER	Login - 100 Concurrentes	436	END	1777156498260	1777156498511
REQUEST	432		login-normal	1777156498254	1777156498511	OK	 
USER	Login - 100 Concurrentes	432	END	1777156498254	1777156498512
USER	Login - 100 Concurrentes	522	START	1777156498512	1777156498512
USER	Login - 100 Concurrentes	521	START	1777156498511	1777156498511
REQUEST	450		login-normal	1777156498286	1777156498519	OK	 
USER	Login - 100 Concurrentes	450	END	1777156498286	1777156498520
USER	Login - 100 Concurrentes	523	START	1777156498520	1777156498520
REQUEST	427		login-normal	1777156498237	1777156498529	OK	 
USER	Login - 100 Concurrentes	427	END	1777156498237	1777156498530
USER	Login - 100 Concurrentes	524	START	1777156498530	1777156498530
REQUEST	458		login-normal	1777156498317	1777156498546	OK	 
USER	Login - 100 Concurrentes	458	END	1777156498317	1777156498547
REQUEST	416		login-normal	1777156498196	1777156498548	OK	 
USER	Login - 100 Concurrentes	416	END	1777156498196	1777156498548
USER	Login - 100 Concurrentes	525	START	1777156498548	1777156498548
USER	Login - 100 Concurrentes	526	START	1777156498549	1777156498549
REQUEST	431		login-normal	1777156498249	1777156498551	OK	 
USER	Login - 100 Concurrentes	431	END	1777156498249	1777156498552
REQUEST	435		login-normal	1777156498260	1777156498552	OK	 
USER	Login - 100 Concurrentes	527	START	1777156498552	1777156498552
REQUEST	454		login-normal	1777156498307	1777156498553	OK	 
USER	Login - 100 Concurrentes	454	END	1777156498307	1777156498554
USER	Login - 100 Concurrentes	528	START	1777156498555	1777156498555
REQUEST	424		login-normal	1777156498218	1777156498555	OK	 
USER	Login - 100 Concurrentes	424	END	1777156498218	1777156498556
USER	Login - 100 Concurrentes	529	START	1777156498558	1777156498558
REQUEST	439		login-normal	1777156498263	1777156498559	OK	 
USER	Login - 100 Concurrentes	435	END	1777156498260	1777156498559
USER	Login - 100 Concurrentes	439	END	1777156498263	1777156498559
USER	Login - 100 Concurrentes	530	START	1777156498561	1777156498561
USER	Login - 100 Concurrentes	531	START	1777156498561	1777156498561
REQUEST	466		login-normal	1777156498332	1777156498563	OK	 
USER	Login - 100 Concurrentes	466	END	1777156498332	1777156498563
USER	Login - 100 Concurrentes	532	START	1777156498563	1777156498563
REQUEST	462		login-normal	1777156498325	1777156498566	OK	 
USER	Login - 100 Concurrentes	462	END	1777156498325	1777156498572
USER	Login - 100 Concurrentes	533	START	1777156498572	1777156498572
REQUEST	393		login-normal	1777156498137	1777156498578	OK	 
USER	Login - 100 Concurrentes	393	END	1777156498137	1777156498583
REQUEST	478		login-normal	1777156498368	1777156498581	OK	 
USER	Login - 100 Concurrentes	478	END	1777156498365	1777156498584
USER	Login - 100 Concurrentes	534	START	1777156498583	1777156498583
USER	Login - 100 Concurrentes	535	START	1777156498584	1777156498584
REQUEST	470		login-normal	1777156498342	1777156498587	OK	 
USER	Login - 100 Concurrentes	470	END	1777156498342	1777156498589
USER	Login - 100 Concurrentes	536	START	1777156498589	1777156498589
REQUEST	397		login-normal	1777156498145	1777156498590	OK	 
USER	Login - 100 Concurrentes	397	END	1777156498145	1777156498592
USER	Login - 100 Concurrentes	537	START	1777156498594	1777156498594
REQUEST	405		login-normal	1777156498165	1777156498593	OK	 
USER	Login - 100 Concurrentes	405	END	1777156498164	1777156498596
USER	Login - 100 Concurrentes	538	START	1777156498598	1777156498598
REQUEST	409		login-normal	1777156498168	1777156498602	OK	 
USER	Login - 100 Concurrentes	409	END	1777156498168	1777156498606
USER	Login - 100 Concurrentes	539	START	1777156498606	1777156498606
REQUEST	474		login-normal	1777156498343	1777156498605	OK	 
USER	Login - 100 Concurrentes	474	END	1777156498343	1777156498607
USER	Login - 100 Concurrentes	540	START	1777156498607	1777156498607
REQUEST	401		login-normal	1777156498160	1777156498610	OK	 
USER	Login - 100 Concurrentes	401	END	1777156498159	1777156498611
USER	Login - 100 Concurrentes	541	START	1777156498611	1777156498611
REQUEST	494		login-normal	1777156498454	1777156498619	OK	 
USER	Login - 100 Concurrentes	494	END	1777156498453	1777156498619
USER	Login - 100 Concurrentes	542	START	1777156498620	1777156498620
REQUEST	413		login-normal	1777156498182	1777156498623	OK	 
USER	Login - 100 Concurrentes	413	END	1777156498182	1777156498624
REQUEST	417		login-normal	1777156498198	1777156498624	OK	 
USER	Login - 100 Concurrentes	417	END	1777156498198	1777156498625
REQUEST	498		login-normal	1777156498459	1777156498625	OK	 
USER	Login - 100 Concurrentes	543	START	1777156498624	1777156498624
USER	Login - 100 Concurrentes	544	START	1777156498625	1777156498625
USER	Login - 100 Concurrentes	498	END	1777156498459	1777156498626
USER	Login - 100 Concurrentes	545	START	1777156498629	1777156498629
REQUEST	433		login-normal	1777156498265	1777156498630	OK	 
USER	Login - 100 Concurrentes	433	END	1777156498257	1777156498631
USER	Login - 100 Concurrentes	546	START	1777156498631	1777156498631
REQUEST	490		login-normal	1777156498446	1777156498632	OK	 
REQUEST	428		login-normal	1777156498238	1777156498632	OK	 
USER	Login - 100 Concurrentes	428	END	1777156498237	1777156498632
USER	Login - 100 Concurrentes	547	START	1777156498632	1777156498632
USER	Login - 100 Concurrentes	490	END	1777156498445	1777156498633
USER	Login - 100 Concurrentes	548	START	1777156498633	1777156498633
REQUEST	437		login-normal	1777156498261	1777156498640	OK	 
USER	Login - 100 Concurrentes	437	END	1777156498260	1777156498641
USER	Login - 100 Concurrentes	549	START	1777156498641	1777156498641
REQUEST	441		login-normal	1777156498272	1777156498642	OK	 
USER	Login - 100 Concurrentes	441	END	1777156498272	1777156498643
USER	Login - 100 Concurrentes	550	START	1777156498643	1777156498643
REQUEST	429		login-normal	1777156498243	1777156498644	OK	 
USER	Login - 100 Concurrentes	429	END	1777156498243	1777156498645
USER	Login - 100 Concurrentes	551	START	1777156498646	1777156498646
REQUEST	482		login-normal	1777156498413	1777156498649	OK	 
USER	Login - 100 Concurrentes	482	END	1777156498410	1777156498651
USER	Login - 100 Concurrentes	552	START	1777156498651	1777156498651
REQUEST	451		login-normal	1777156498289	1777156498652	OK	 
USER	Login - 100 Concurrentes	451	END	1777156498288	1777156498652
REQUEST	455		login-normal	1777156498310	1777156498652	OK	 
USER	Login - 100 Concurrentes	553	START	1777156498652	1777156498652
REQUEST	447		login-normal	1777156498279	1777156498653	OK	 
REQUEST	506		login-normal	1777156498473	1777156498654	OK	 
USER	Login - 100 Concurrentes	455	END	1777156498309	1777156498653
USER	Login - 100 Concurrentes	506	END	1777156498473	1777156498654
USER	Login - 100 Concurrentes	554	START	1777156498654	1777156498654
USER	Login - 100 Concurrentes	555	START	1777156498655	1777156498655
USER	Login - 100 Concurrentes	447	END	1777156498279	1777156498657
REQUEST	443		login-normal	1777156498274	1777156498657	OK	 
USER	Login - 100 Concurrentes	556	START	1777156498657	1777156498657
USER	Login - 100 Concurrentes	443	END	1777156498273	1777156498657
USER	Login - 100 Concurrentes	557	START	1777156498657	1777156498657
REQUEST	514		login-normal	1777156498485	1777156498654	OK	 
REQUEST	510		login-normal	1777156498477	1777156498658	OK	 
REQUEST	518		login-normal	1777156498491	1777156498659	OK	 
USER	Login - 100 Concurrentes	514	END	1777156498481	1777156498658
USER	Login - 100 Concurrentes	510	END	1777156498477	1777156498659
USER	Login - 100 Concurrentes	518	END	1777156498491	1777156498659
USER	Login - 100 Concurrentes	558	START	1777156498661	1777156498661
USER	Login - 100 Concurrentes	559	START	1777156498661	1777156498661
REQUEST	459		login-normal	1777156498321	1777156498662	OK	 
USER	Login - 100 Concurrentes	560	START	1777156498662	1777156498662
USER	Login - 100 Concurrentes	459	END	1777156498321	1777156498662
REQUEST	449		login-normal	1777156498286	1777156498663	OK	 
USER	Login - 100 Concurrentes	449	END	1777156498285	1777156498663
USER	Login - 100 Concurrentes	562	START	1777156498663	1777156498663
USER	Login - 100 Concurrentes	561	START	1777156498662	1777156498662
REQUEST	448		login-normal	1777156498281	1777156498667	OK	 
REQUEST	440		login-normal	1777156498268	1777156498669	OK	 
USER	Login - 100 Concurrentes	448	END	1777156498281	1777156498669
USER	Login - 100 Concurrentes	563	START	1777156498669	1777156498669
REQUEST	522		login-normal	1777156498513	1777156498674	OK	 
USER	Login - 100 Concurrentes	440	END	1777156498267	1777156498676
USER	Login - 100 Concurrentes	522	END	1777156498512	1777156498676
USER	Login - 100 Concurrentes	564	START	1777156498678	1777156498678
USER	Login - 100 Concurrentes	565	START	1777156498678	1777156498678
REQUEST	445		login-normal	1777156498276	1777156498673	OK	 
USER	Login - 100 Concurrentes	445	END	1777156498276	1777156498678
USER	Login - 100 Concurrentes	566	START	1777156498678	1777156498678
REQUEST	526		login-normal	1777156498549	1777156498683	OK	 
USER	Login - 100 Concurrentes	526	END	1777156498549	1777156498683
USER	Login - 100 Concurrentes	567	START	1777156498683	1777156498683
REQUEST	530		login-normal	1777156498561	1777156498684	OK	 
USER	Login - 100 Concurrentes	530	END	1777156498561	1777156498686
USER	Login - 100 Concurrentes	568	START	1777156498686	1777156498686
REQUEST	452		login-normal	1777156498303	1777156498691	OK	 
REQUEST	456		login-normal	1777156498311	1777156498691	OK	 
USER	Login - 100 Concurrentes	452	END	1777156498303	1777156498691
USER	Login - 100 Concurrentes	456	END	1777156498310	1777156498692
USER	Login - 100 Concurrentes	569	START	1777156498692	1777156498692
USER	Login - 100 Concurrentes	570	START	1777156498692	1777156498692
REQUEST	473		login-normal	1777156498343	1777156498709	OK	 
USER	Login - 100 Concurrentes	473	END	1777156498342	1777156498710
REQUEST	469		login-normal	1777156498337	1777156498711	OK	 
USER	Login - 100 Concurrentes	469	END	1777156498336	1777156498711
USER	Login - 100 Concurrentes	571	START	1777156498711	1777156498711
USER	Login - 100 Concurrentes	572	START	1777156498712	1777156498712
REQUEST	534		login-normal	1777156498584	1777156498715	OK	 
USER	Login - 100 Concurrentes	534	END	1777156498583	1777156498717
USER	Login - 100 Concurrentes	573	START	1777156498717	1777156498717
REQUEST	444		login-normal	1777156498277	1777156498718	OK	 
USER	Login - 100 Concurrentes	444	END	1777156498275	1777156498723
USER	Login - 100 Concurrentes	574	START	1777156498723	1777156498723
REQUEST	457		login-normal	1777156498314	1777156498724	OK	 
USER	Login - 100 Concurrentes	457	END	1777156498314	1777156498724
REQUEST	477		login-normal	1777156498355	1777156498724	OK	 
USER	Login - 100 Concurrentes	575	START	1777156498724	1777156498724
REQUEST	471		login-normal	1777156498342	1777156498725	OK	 
REQUEST	486		login-normal	1777156498440	1777156498725	OK	 
USER	Login - 100 Concurrentes	471	END	1777156498342	1777156498725
USER	Login - 100 Concurrentes	486	END	1777156498440	1777156498725
USER	Login - 100 Concurrentes	577	START	1777156498726	1777156498726
USER	Login - 100 Concurrentes	576	START	1777156498726	1777156498726
REQUEST	505		login-normal	1777156498471	1777156498727	OK	 
USER	Login - 100 Concurrentes	477	END	1777156498354	1777156498727
USER	Login - 100 Concurrentes	578	START	1777156498728	1777156498728
USER	Login - 100 Concurrentes	505	END	1777156498470	1777156498728
REQUEST	453		login-normal	1777156498304	1777156498728	OK	 
USER	Login - 100 Concurrentes	579	START	1777156498728	1777156498728
REQUEST	502		login-normal	1777156498466	1777156498727	OK	 
USER	Login - 100 Concurrentes	502	END	1777156498465	1777156498729
USER	Login - 100 Concurrentes	580	START	1777156498732	1777156498732
REQUEST	467		login-normal	1777156498336	1777156498733	OK	 
USER	Login - 100 Concurrentes	467	END	1777156498336	1777156498733
USER	Login - 100 Concurrentes	581	START	1777156498733	1777156498733
USER	Login - 100 Concurrentes	453	END	1777156498303	1777156498734
USER	Login - 100 Concurrentes	582	START	1777156498734	1777156498734
REQUEST	463		login-normal	1777156498328	1777156498737	OK	 
REQUEST	465		login-normal	1777156498329	1777156498734	OK	 
USER	Login - 100 Concurrentes	463	END	1777156498328	1777156498737
REQUEST	421		login-normal	1777156498214	1777156498738	OK	 
USER	Login - 100 Concurrentes	583	START	1777156498737	1777156498737
USER	Login - 100 Concurrentes	465	END	1777156498329	1777156498738
USER	Login - 100 Concurrentes	421	END	1777156498213	1777156498738
USER	Login - 100 Concurrentes	584	START	1777156498740	1777156498740
USER	Login - 100 Concurrentes	585	START	1777156498740	1777156498740
