ASSERTION	AAMAAQxsb2dpbi1ub3JtYWwDAAEEAAAAAAAAwFdAAQAAAAAAAECvQA==
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	parabank.LoginTest	logintest	1777156495699	 	3.3.1
REQUEST	32		login-normal	1777156496911	1777156497046	OK	 
USER	Login - 100 Concurrentes	118	START	1777156497046	1777156497046
USER	Login - 100 Concurrentes	32	END	1777156496910	1777156497046
USER	Login - 100 Concurrentes	119	START	1777156497047	1777156497047
REQUEST	10		login-normal	1777156496689	1777156497047	OK	 
USER	Login - 100 Concurrentes	10	END	1777156496689	1777156497048
USER	Login - 100 Concurrentes	120	START	1777156497048	1777156497048
REQUEST	30		login-normal	1777156496889	1777156497049	OK	 
USER	Login - 100 Concurrentes	114	START	1777156497035	1777156497035
USER	Login - 100 Concurrentes	30	END	1777156496889	1777156497050
USER	Login - 100 Concurrentes	121	START	1777156497052	1777156497052
USER	Login - 100 Concurrentes	46	START	1777156497052	1777156497052
REQUEST	31		login-normal	1777156496899	1777156497064	OK	 
USER	Login - 100 Concurrentes	31	END	1777156496899	1777156497066
USER	Login - 100 Concurrentes	122	START	1777156497066	1777156497066
USER	Login - 100 Concurrentes	47	START	1777156497066	1777156497066
USER	Login - 100 Concurrentes	48	START	1777156497069	1777156497069
USER	Login - 100 Concurrentes	49	START	1777156497079	1777156497079
REQUEST	35		login-normal	1777156496939	1777156497083	OK	 
USER	Login - 100 Concurrentes	35	END	1777156496938	1777156497085
USER	Login - 100 Concurrentes	123	START	1777156497085	1777156497085
REQUEST	34		login-normal	1777156496931	1777156497082	OK	 
USER	Login - 100 Concurrentes	34	END	1777156496930	1777156497087
REQUEST	33		login-normal	1777156496921	1777156497084	OK	 
USER	Login - 100 Concurrentes	50	START	1777156497093	1777156497093
USER	Login - 100 Concurrentes	124	START	1777156497087	1777156497087
USER	Login - 100 Concurrentes	33	END	1777156496920	1777156497095
USER	Login - 100 Concurrentes	125	START	1777156497096	1777156497096
USER	Login - 100 Concurrentes	51	START	1777156497098	1777156497098
REQUEST	8		login-normal	1777156496669	1777156497111	OK	 
USER	Login - 100 Concurrentes	52	START	1777156497111	1777156497111
USER	Login - 100 Concurrentes	8	END	1777156496668	1777156497114
USER	Login - 100 Concurrentes	126	START	1777156497116	1777156497116
USER	Login - 100 Concurrentes	53	START	1777156497131	1777156497131
REQUEST	1		login-normal	1777156496613	1777156497124	OK	 
REQUEST	16		login-normal	1777156496750	1777156497138	OK	 
USER	Login - 100 Concurrentes	1	END	1777156496582	1777156497140
USER	Login - 100 Concurrentes	127	START	1777156497140	1777156497140
USER	Login - 100 Concurrentes	54	START	1777156497139	1777156497139
REQUEST	18		login-normal	1777156496769	1777156497143	OK	 
USER	Login - 100 Concurrentes	16	END	1777156496750	1777156497143
USER	Login - 100 Concurrentes	18	END	1777156496768	1777156497143
USER	Login - 100 Concurrentes	128	START	1777156497144	1777156497144
REQUEST	19		login-normal	1777156496779	1777156497148	OK	 
USER	Login - 100 Concurrentes	55	START	1777156497149	1777156497149
USER	Login - 100 Concurrentes	19	END	1777156496779	1777156497152
USER	Login - 100 Concurrentes	130	START	1777156497153	1777156497153
USER	Login - 100 Concurrentes	129	START	1777156497144	1777156497144
USER	Login - 100 Concurrentes	56	START	1777156497160	1777156497160
REQUEST	36		login-normal	1777156496949	1777156497159	OK	 
USER	Login - 100 Concurrentes	36	END	1777156496949	1777156497163
REQUEST	7		login-normal	1777156496659	1777156497163	OK	 
USER	Login - 100 Concurrentes	131	START	1777156497164	1777156497164
USER	Login - 100 Concurrentes	7	END	1777156496658	1777156497166
USER	Login - 100 Concurrentes	132	START	1777156497166	1777156497166
USER	Login - 100 Concurrentes	57	START	1777156497169	1777156497169
REQUEST	25		login-normal	1777156496840	1777156497175	OK	 
REQUEST	22		login-normal	1777156496809	1777156497172	OK	 
USER	Login - 100 Concurrentes	58	START	1777156497178	1777156497178
USER	Login - 100 Concurrentes	25	END	1777156496839	1777156497178
USER	Login - 100 Concurrentes	133	START	1777156497180	1777156497180
REQUEST	11		login-normal	1777156496699	1777156497181	OK	 
USER	Login - 100 Concurrentes	22	END	1777156496809	1777156497178
USER	Login - 100 Concurrentes	134	START	1777156497183	1777156497183
USER	Login - 100 Concurrentes	11	END	1777156496699	1777156497181
USER	Login - 100 Concurrentes	135	START	1777156497184	1777156497184
REQUEST	14		login-normal	1777156496729	1777156497185	OK	 
USER	Login - 100 Concurrentes	14	END	1777156496728	1777156497186
USER	Login - 100 Concurrentes	136	START	1777156497187	1777156497187
USER	Login - 100 Concurrentes	59	START	1777156497190	1777156497190
REQUEST	104		login-normal	1777156497016	1777156497193	OK	 
USER	Login - 100 Concurrentes	104	END	1777156497016	1777156497194
USER	Login - 100 Concurrentes	137	START	1777156497195	1777156497195
USER	Login - 100 Concurrentes	60	START	1777156497201	1777156497201
REQUEST	39		login-normal	1777156496985	1777156497208	OK	 
USER	Login - 100 Concurrentes	39	END	1777156496982	1777156497212
USER	Login - 100 Concurrentes	138	START	1777156497212	1777156497212
USER	Login - 100 Concurrentes	61	START	1777156497210	1777156497210
REQUEST	40		login-normal	1777156496993	1777156497216	OK	 
REQUEST	37		login-normal	1777156496960	1777156497215	OK	 
USER	Login - 100 Concurrentes	62	START	1777156497219	1777156497219
USER	Login - 100 Concurrentes	37	END	1777156496960	1777156497220
USER	Login - 100 Concurrentes	139	START	1777156497220	1777156497220
USER	Login - 100 Concurrentes	40	END	1777156496990	1777156497223
USER	Login - 100 Concurrentes	140	START	1777156497225	1777156497225
USER	Login - 100 Concurrentes	63	START	1777156497229	1777156497229
REQUEST	108		login-normal	1777156497025	1777156497234	OK	 
USER	Login - 100 Concurrentes	64	START	1777156497239	1777156497239
USER	Login - 100 Concurrentes	108	END	1777156497025	1777156497238
USER	Login - 100 Concurrentes	141	START	1777156497240	1777156497240
REQUEST	41		login-normal	1777156497006	1777156497241	OK	 
REQUEST	112		login-normal	1777156497032	1777156497239	OK	 
REQUEST	101		login-normal	1777156497011	1777156497246	OK	 
REQUEST	44		login-normal	1777156497029	1777156497247	OK	 
USER	Login - 100 Concurrentes	41	END	1777156497003	1777156497244
USER	Login - 100 Concurrentes	112	END	1777156497031	1777156497246
USER	Login - 100 Concurrentes	101	END	1777156497010	1777156497246
USER	Login - 100 Concurrentes	44	END	1777156497029	1777156497247
USER	Login - 100 Concurrentes	143	START	1777156497250	1777156497250
USER	Login - 100 Concurrentes	145	START	1777156497253	1777156497253
USER	Login - 100 Concurrentes	142	START	1777156497249	1777156497249
USER	Login - 100 Concurrentes	65	START	1777156497254	1777156497254
USER	Login - 100 Concurrentes	144	START	1777156497253	1777156497253
REQUEST	38		login-normal	1777156496982	1777156497259	OK	 
USER	Login - 100 Concurrentes	66	START	1777156497266	1777156497266
USER	Login - 100 Concurrentes	38	END	1777156496972	1777156497264
USER	Login - 100 Concurrentes	146	START	1777156497267	1777156497267
USER	Login - 100 Concurrentes	67	START	1777156497270	1777156497270
REQUEST	42		login-normal	1777156497010	1777156497264	OK	 
REQUEST	102		login-normal	1777156497013	1777156497272	OK	 
USER	Login - 100 Concurrentes	42	END	1777156497009	1777156497272
USER	Login - 100 Concurrentes	147	START	1777156497276	1777156497276
USER	Login - 100 Concurrentes	68	START	1777156497279	1777156497279
REQUEST	111		login-normal	1777156497033	1777156497261	OK	 
REQUEST	43		login-normal	1777156497019	1777156497284	OK	 
USER	Login - 100 Concurrentes	111	END	1777156497031	1777156497284
USER	Login - 100 Concurrentes	148	START	1777156497288	1777156497288
USER	Login - 100 Concurrentes	69	START	1777156497290	1777156497290
REQUEST	117		login-normal	1777156497045	1777156497278	OK	 
USER	Login - 100 Concurrentes	102	END	1777156497012	1777156497296
USER	Login - 100 Concurrentes	149	START	1777156497301	1777156497301
USER	Login - 100 Concurrentes	117	END	1777156497044	1777156497298
USER	Login - 100 Concurrentes	70	START	1777156497300	1777156497300
USER	Login - 100 Concurrentes	43	END	1777156497018	1777156497299
USER	Login - 100 Concurrentes	150	START	1777156497304	1777156497304
REQUEST	45		login-normal	1777156497042	1777156497309	OK	 
USER	Login - 100 Concurrentes	45	END	1777156497041	1777156497310
USER	Login - 100 Concurrentes	71	START	1777156497314	1777156497314
USER	Login - 100 Concurrentes	152	START	1777156497313	1777156497313
REQUEST	119		login-normal	1777156497047	1777156497316	OK	 
USER	Login - 100 Concurrentes	119	END	1777156497047	1777156497317
USER	Login - 100 Concurrentes	72	START	1777156497319	1777156497319
USER	Login - 100 Concurrentes	151	START	1777156497305	1777156497305
USER	Login - 100 Concurrentes	153	START	1777156497322	1777156497322
REQUEST	50		login-normal	1777156497094	1777156497329	OK	 
USER	Login - 100 Concurrentes	50	END	1777156497093	1777156497330
USER	Login - 100 Concurrentes	73	START	1777156497330	1777156497330
USER	Login - 100 Concurrentes	154	START	1777156497331	1777156497331
REQUEST	128		login-normal	1777156497144	1777156497326	OK	 
USER	Login - 100 Concurrentes	128	END	1777156497144	1777156497334
USER	Login - 100 Concurrentes	155	START	1777156497334	1777156497334
REQUEST	122		login-normal	1777156497067	1777156497337	OK	 
USER	Login - 100 Concurrentes	122	END	1777156497066	1777156497337
USER	Login - 100 Concurrentes	156	START	1777156497338	1777156497338
USER	Login - 100 Concurrentes	74	START	1777156497339	1777156497339
REQUEST	121		login-normal	1777156497052	1777156497340	OK	 
USER	Login - 100 Concurrentes	121	END	1777156497052	1777156497340
USER	Login - 100 Concurrentes	157	START	1777156497340	1777156497340
USER	Login - 100 Concurrentes	75	START	1777156497350	1777156497350
REQUEST	103		login-normal	1777156497014	1777156497354	OK	 
REQUEST	105		login-normal	1777156497018	1777156497355	OK	 
USER	Login - 100 Concurrentes	76	START	1777156497359	1777156497359
USER	Login - 100 Concurrentes	105	END	1777156497017	1777156497362
USER	Login - 100 Concurrentes	103	END	1777156497014	1777156497365
USER	Login - 100 Concurrentes	159	START	1777156497368	1777156497368
USER	Login - 100 Concurrentes	158	START	1777156497371	1777156497371
REQUEST	48		login-normal	1777156497074	1777156497353	OK	 
REQUEST	116		login-normal	1777156497043	1777156497372	OK	 
REQUEST	120		login-normal	1777156497048	1777156497373	OK	 
